league_id,league_name,season,team_id,name,code,founded,venue_name,venue_city
39,Premier League,2022,33,Manchester United,MUN,1878,Old Trafford,Manchester
39,Premier League,2022,34,Newcastle,NEW,1892,St. James' Park,Newcastle upon Tyne
39,Premier League,2022,35,Bournemouth,BOU,1899,Vitality Stadium,"Bournemouth, Dorset"
39,Premier League,2022,36,Fulham,FUL,1879,Craven Cottage,London
39,Premier League,2022,39,Wolves,WOL,1877,Molineux Stadium,"Wolverhampton, West Midlands"
39,Premier League,2022,40,Liverpool,LIV,1892,Anfield,Liverpool
39,Premier League,2022,41,Southampton,SOU,1885,St. Mary's Stadium,"Southampton, Hampshire"
39,Premier League,2022,42,Arsenal,ARS,1886,Emirates Stadium,London
39,Premier League,2022,45,Everton,EVE,1878,Hill Dickinson Stadium,"Liverpool, Merseyside"
39,Premier League,2022,46,Leicester,LEI,1884,King Power Stadium,"Leicester, Leicestershire"
39,Premier League,2022,47,Tottenham,TOT,1882,Tottenham Hotspur Stadium,London
39,Premier League,2022,48,West Ham,WES,1895,London Stadium,London
39,Premier League,2022,49,Chelsea,CHE,1905,Stamford Bridge,London
39,Premier League,2022,50,Manchester City,MCI,1880,Etihad Stadium,Manchester
39,Premier League,2022,51,Brighton,BRI,1901,American Express Stadium,"Falmer, East Sussex"
39,Premier League,2022,52,Crystal Palace,CRY,1861,Selhurst Park,London
39,Premier League,2022,55,Brentford,BRE,1889,Gtech Community Stadium,"Brentford, Middlesex"
39,Premier League,2022,63,Leeds,LEE,1919,Elland Road,"Leeds, West Yorkshire"
39,Premier League,2022,65,Nottingham Forest,NOT,1865,The City Ground,"Nottingham, Nottinghamshire"
39,Premier League,2022,66,Aston Villa,AST,1874,Villa Park,Birmingham
39,Premier League,2023,33,Manchester United,MUN,1878,Old Trafford,Manchester
39,Premier League,2023,34,Newcastle,NEW,1892,St. James' Park,Newcastle upon Tyne
39,Premier League,2023,35,Bournemouth,BOU,1899,Vitality Stadium,"Bournemouth, Dorset"
39,Premier League,2023,36,Fulham,FUL,1879,Craven Cottage,London
39,Premier League,2023,39,Wolves,WOL,1877,Molineux Stadium,"Wolverhampton, West Midlands"
39,Premier League,2023,40,Liverpool,LIV,1892,Anfield,Liverpool
39,Premier League,2023,42,Arsenal,ARS,1886,Emirates Stadium,London
39,Premier League,2023,44,Burnley,BUR,1882,Turf Moor,Burnley
39,Premier League,2023,45,Everton,EVE,1878,Hill Dickinson Stadium,"Liverpool, Merseyside"
39,Premier League,2023,47,Tottenham,TOT,1882,Tottenham Hotspur Stadium,London
39,Premier League,2023,48,West Ham,WES,1895,London Stadium,London
39,Premier League,2023,49,Chelsea,CHE,1905,Stamford Bridge,London
39,Premier League,2023,50,Manchester City,MCI,1880,Etihad Stadium,Manchester
39,Premier League,2023,51,Brighton,BRI,1901,American Express Stadium,"Falmer, East Sussex"
39,Premier League,2023,52,Crystal Palace,CRY,1861,Selhurst Park,London
39,Premier League,2023,55,Brentford,BRE,1889,Gtech Community Stadium,"Brentford, Middlesex"
39,Premier League,2023,62,Sheffield Utd,SHE,1889,Bramall Lane,Sheffield
39,Premier League,2023,65,Nottingham Forest,NOT,1865,The City Ground,"Nottingham, Nottinghamshire"
39,Premier League,2023,66,Aston Villa,AST,1874,Villa Park,Birmingham
39,Premier League,2023,1359,Luton,LUT,1885,Kenilworth Road,"Luton, Bedfordshire"
39,Premier League,2024,33,Manchester United,MUN,1878,Old Trafford,Manchester
39,Premier League,2024,34,Newcastle,NEW,1892,St. James' Park,Newcastle upon Tyne
